state,year,income_pc_nominal,income_pc_real,unemployment_rate
NY,2022,77425.0,82989.7484637054,4.2749999999999995
NY,2023,81729.0,84139.61745467356,4.0249999999999995
NY,2024,84978.0,84978.0,4.1499999999999995
NC,2011,36822.0,51350.10675182549,10.35
NC,2012,38876.0,53115.37544948018,9.6
NC,2013,38074.0,51268.62196863871,7.7749999999999995
NC,2014,39880.0,52843.25943719345,6.116666666666667
NC,2015,41632.0,55099.395863306556,5.658333333333334
NC,2016,42596.0,55672.87731546905,5.1
NC,2017,44219.0,56588.73245677705,4.55
NC,2018,46048.0,57524.29436342167,4.008333333333334
NC,2019,48374.0,59354.36499951595,3.875
NC,2020,51814.0,62800.50980669947,7.325
NC,2021,57227.0,66248.98485962607,4.841666666666667
NC,2022,59120.0,63369.11758701018,3.6750000000000003
NC,2023,62287.0,64124.170764346214,3.475
NC,2024,65598.0,65598.0,3.641666666666667
ND,2011,48873.0,68155.8244332727,3.341666666666667
ND,2012,56056.0,76588.01024272201,2.9416666666666664
ND,2013,54337.0,73167.59762331044,2.891666666666666
ND,2014,56647.0,75060.48438662731,2.6666666666666665
ND,2015,52972.0,70107.73437910921,2.775
ND,2016,51298.0,67046.37197222582,3.016666666666667
ND,2017,51830.0,66328.81800209761,2.6
ND,2018,55173.0,68923.46883497793,2.3916666666666666
ND,2019,56657.0,69517.51473472475,2.15
ND,2020,60444.0,73260.39322878262,5.008333333333334
ND,2021,66157.0,76586.82250263481,3.1
ND,2022,71089.0,76198.36265465099,2.125
ND,2023,71725.0,73840.54695318015,2.066666666666667
ND,2024,72037.0,72037.0,2.4
OH,2011,38927.0,54285.63373875159,8.758333333333333
OH,2012,40279.0,55032.26174836949,7.391666666666667
OH,2013,40752.0,54874.68830346075,7.383333333333333
OH,2014,42277.0,56019.42024137982,5.816666666666666
OH,2015,43799.0,57967.39141566497,4.958333333333333
OH,2016,44574.0,58258.11891867118,5.058333333333334
OH,2017,46114.0,59013.835873986674,4.933333333333334
OH,2018,47821.0,59739.16957855255,4.4750000000000005
OH,2019,49395.0,60607.12074980549,4.125
