state,year,obesity_pct,obesity_ci_low,obesity_ci_high,sample_size,diabetes_pct,diabetes_ci_low,diabetes_ci_high,glp1_prescriptions,n_cells,n_suppressed_cells,pct_cells_suppressed,medicaid_enrollment,population,pct_65plus,income_pc_nominal,income_pc_real,unemployment_rate,glp1_per_1000_enrollees,glp1_per_1000_pop,log_income_pc,log_population
ND,2012,29.7,27.9,31.4,4625.0,8.6,7.8,9.6,224.0,21.0,9.0,42.857142857142854,,702227,14.510130830464623,56056.0,76588.01024272201,2.9416666666666664,,0.31898517146164984,11.246195819231035,13.462011992561143
ND,2013,31.0,29.5,32.5,7413.0,8.9,8.1,9.7,261.0,20.0,8.0,40.0,,723149,14.34300259005436,54337.0,73167.59762331044,2.891666666666666,,0.36092146984922885,11.200507946529315,13.491370565661953
ND,2014,32.2,30.5,34.0,7269.0,8.6,7.8,9.5,654.0,39.0,18.0,46.15384615384615,,738736,14.306800585496257,56647.0,75060.48438662731,2.6666666666666665,,0.8852959649996751,11.226049525993893,13.512695896592248
ND,2015,31.0,29.3,32.8,4612.0,8.7,7.9,9.7,1098.0,63.0,47.0,74.60317460317461,,755537,14.30854781610455,52972.0,70107.73437910921,2.775,,1.4532709847433019,11.157788400447219,13.535184033685013
ND,2016,31.9,30.3,33.6,5348.0,8.6,7.9,9.5,1487.0,58.0,37.0,63.793103448275865,85687.0,756114,14.660889072869791,51298.0,67046.37197222582,3.016666666666667,17.353857644683558,1.9666346609109209,11.11313977795766,13.535947437444245
ND,2017,33.2,31.6,34.7,6532.0,9.0,8.2,9.7,1913.0,64.0,40.0,62.5,92592.0,756755,15.10705175413318,51830.0,66328.81800209761,2.6,20.660532227406254,2.5278987254791843,11.102379742401494,13.536794834063988
ND,2018,35.1,33.3,37.0,5224.0,9.4,8.5,10.3,2120.0,59.0,35.0,59.32203389830509,92024.0,760062,15.492456391313992,55173.0,68923.46883497793,2.3916666666666666,23.03746848648179,2.7892461404464375,11.140752020701143,13.541155287882502
ND,2019,34.8,33.0,36.7,5174.0,8.9,8.1,9.8,2644.0,65.0,40.0,61.53846153846154,89065.0,763724,15.865156479867188,56657.0,69517.51473472475,2.15,29.68618424745972,3.461983648543191,11.149334010375133,13.54596174633529
ND,2020,33.1,31.1,35.1,4076.0,9.9,8.9,11.0,3355.0,38.0,19.0,50.0,95836.0,779563,15.934228219218545,60444.0,73260.39322878262,5.008333333333334,35.00772152427063,4.303693222998013,11.20177540389665,13.566488785253252
ND,2021,35.2,33.6,36.9,5386.0,9.5,8.7,10.4,4274.0,38.0,14.0,36.8421052631579,112520.0,777966,16.292862631885022,66157.0,76586.82250263481,3.1,37.98435833629577,5.493813354311114,11.246180310938113,13.564438100406091
